Team,CPI,W,L,OW,OL,OOW,OOL,Year
Florida,19.809002919625705,13,1,109,57,1197,889,2006
Louisville,16.581959921984502,12,1,93,60,1095,824,2006
Boise St,15.191153958302959,13,0,83,69,968,932,2006
Ohio State,15.013680174870936,12,1,88,64,1098,830,2006
Southern Cal,13.911792609244799,11,2,97,58,1151,812,2006
Michigan,13.42968562660571,11,2,96,56,1072,857,2006
LSU,12.654398961267042,11,2,92,60,1101,830,2006
West Virginia,11.696196487934762,11,2,88,62,1054,825,2006
Auburn,11.6189005259636,11,2,89,64,1099,840,2006
Rutgers,11.439301926546472,11,2,87,63,1053,823,2006
Wisconsin,10.59411012130539,12,1,74,76,1046,844,2006
California,9.037941914968172,10,3,88,63,1119,795,2006
Oklahoma,8.585706574110434,11,3,93,71,1146,936,2006
Texas,8.51467792664738,10,3,90,63,1038,882,2006
Boston College,8.44372100744979,10,3,90,63,1039,899,2006
Notre Dame,8.231919146738909,10,3,87,66,1084,854,2006
Virginia Tech,7.986263881430322,10,3,87,66,1037,874,2006
Brigham Young,7.935986425135547,11,2,74,75,991,875,2006
Arkansas,7.448790988324165,10,4,97,65,1171,883,2006
Wake Forest,7.840015213859182,11,3,86,75,1159,887,2006
Oregon St,7.04373863196282,10,4,95,67,1155,900,2006
Tennessee,7.210851727639554,9,4,95,59,1113,836,2006
TCU,7.049534232877205,11,2,70,77,936,888,2006
Penn State,6.534100662227722,9,4,91,62,1066,849,2006
Hawai`i,6.365435540069685,11,3,84,81,1038,1012,2006
Georgia,6.2065034828053705,9,4,86,65,1106,812,2006
Texas A&M,5.672872354946035,9,4,86,66,1019,889,2006
Maryland,5.481606938932325,9,4,85,69,1052,888,2006
South Carolina,5.450534171274253,8,5,99,55,1090,836,2006
Kentucky,5.1191350466290055,8,5,95,57,1078,839,2006
Cincinnati,5.0925627768240505,8,5,95,54,1002,862,2006
South Florida,5.204703435878241,9,4,79,69,1019,832,2006
Nebraska,4.890267693274524,9,5,96,68,1112,958,2006
Georgia Tech,4.586897638564041,9,5,92,71,1117,944,2006
Houston,4.444853885306835,10,4,72,76,957,900,2006
Central Michigan,4.3884403599225745,10,4,79,83,1033,1007,2006
Missouri,3.4640962270686075,8,5,81,73,1037,893,2006
Texas Tech,3.5253042498959157,8,5,80,70,1003,883,2006
Navy,3.804264928576147,9,4,69,82,1035,850,2006
Southern Miss,3.452872461726004,9,5,75,75,981,906,2006
Clemson,3.7212550937358237,8,5,82,72,1105,857,2006
Tulsa,3.187795843139338,8,5,80,71,904,951,2006
Utah,3.2377205779105522,8,5,77,71,948,899,2006
Oregon,3.136068755639279,7,6,90,61,1080,830,2006
UCLA,3.0292201966459267,7,6,89,64,1113,828,2006
Ohio U.,3.011621817330486,9,5,79,83,961,1055,2006
Oklahoma St,2.6565652303039036,7,6,87,66,1002,902,2006
Florida St,2.840224857461343,7,6,90,65,1063,907,2006
Arizona,2.5965458663646657,6,6,84,56,1019,747,2006
Kansas St,2.716891336666639,7,6,86,65,1007,870,2006
Purdue,2.491770197782424,8,6,80,81,1105,938,2006
Arizona St,2.696157584367123,7,6,84,67,1067,845,2006
Miami FL,2.558128835572313,7,6,84,68,1021,882,2006
Nevada,2.4377006123091167,8,5,68,82,963,929,2006
Middle Tennessee St,2.1931355481619743,7,6,80,70,925,948,2006
Troy,2.2592162620886818,8,5,66,83,919,941,2006
Pittsburgh,2.158188870004351,6,6,76,60,941,761,2006
Western Michigan,2.198447888558941,8,5,65,85,950,941,2006
Washington St,2.1841078458942635,6,6,77,63,1027,751,2006
Minnesota,2.085613518404614,6,7,95,56,1014,878,2006
Rice,2.0234944754034414,7,6,76,75,967,923,2006
East Carolina,1.9816441356603407,7,6,75,75,954,925,2006
Iowa,1.8795507138371663,6,7,90,63,1063,861,2006
Northern Illinois,1.5483055806075536,7,6,67,83,936,947,2006
Kansas,1.5006501524306959,6,6,66,72,908,822,2006
Alabama,1.5092902154253454,6,7,80,73,1091,852,2006
Wyoming,1.4987401687572726,6,6,66,71,886,829,2006
SMU,1.3853762938661873,6,6,66,71,808,884,2006
Washington,1.3705502268299923,5,7,82,60,1021,776,2006
Indiana,1.2762905097294723,5,7,80,61,969,799,2006
Louisiana-Lafayette,1.0850052503998082,6,6,58,79,817,870,2006
New Mexico,1.2481382723871801,6,7,75,72,892,937,2006
Arkansas St,1.0198413021114991,6,6,56,80,819,883,2006
Virginia,0.9257194617900876,5,7,68,72,965,814,2006
Ball St,0.8480630533168249,5,7,68,70,830,889,2006
Marshall,0.764657246089395,5,7,62,75,880,825,2006
Connecticut,0.7688134917735661,4,8,85,54,962,771,2006
Kent State,0.7394690541829706,6,6,47,89,848,864,2006
Florida Atlantic,0.6969870271549135,5,7,60,77,859,851,2006
Akron,0.7031314047368805,5,7,62,77,854,894,2006
Toledo,0.6957180010680222,5,7,62,74,783,909,2006
Mississippi,0.6381163859464092,4,8,79,62,972,799,2006
Syracuse,0.6793686930283399,4,8,80,60,987,770,2006
UTEP,0.6576492923663282,5,7,59,79,852,861,2006
Vanderbilt,0.6437435563362565,4,8,77,64,1038,743,2006
Baylor,0.5854265290873781,4,8,76,63,920,820,2006
Northwestern,0.571431249446924,4,8,76,65,932,823,2006
Iowa St,0.5466199904049348,4,8,73,67,957,806,2006
Tulane,0.5326107105020631,4,8,74,66,892,841,2006
Air Force,0.535455984858766,4,8,74,65,884,849,2006
Michigan St,0.5251521477389702,4,8,70,69,984,776,2006
Central Florida,0.5207769682755137,4,8,73,67,889,830,2006
Fresno St,0.5056136902353007,4,8,72,68,911,854,2006
Idaho,0.43543911512031586,4,8,67,72,882,861,2006
Louisiana-Monroe,0.38101930584215193,4,8,63,74,828,874,2006
Colorado St,0.3725530244777649,4,8,61,75,845,845,2006
New Mexico St,0.3604432802872484,4,8,61,76,835,866,2006
Mississippi St,0.30282985287138114,3,9,82,58,996,767,2006
North Carolina St,0.305609121556001,3,9,88,58,982,842,2006
Bowling Green,0.30063021662697215,4,8,57,81,825,909,2006
North Carolina,0.28470696469043333,3,9,82,60,977,811,2006
San Diego St,0.2348846455005531,3,9,76,61,827,866,2006
San José St,0.2348846455005531,3,9,76,61,827,866,2006
Army,0.18583783721713565,3,9,66,70,856,839,2006
Alabama-Birmingham,0.17964793725513128,3,9,67,73,876,869,2006
Louisiana Tech,0.16020484790337616,3,10,77,74,950,945,2006
North Texas,0.1385583308622384,3,9,59,78,820,895,2006
Illinois,0.0831288844579858,2,10,82,60,952,816,2006
Colorado,0.06954751996714811,2,10,75,67,958,821,2006
UNLV,0.05561418169971505,2,10,68,70,847,865,2006
Buffalo,0.058825574522824435,2,10,72,68,846,915,2006
Memphis,0.04804500818118403,2,10,63,75,847,854,2006
Miami OH,0.04194387213481804,2,10,60,79,848,896,2006
Stanford,0.011906631987577578,1,11,86,56,1008,789,2006
Utah St,0.009214942822354173,1,11,80,62,892,886,2006
Temple,0.008010194226316745,1,11,74,67,894,885,2006
Eastern Michigan,0.005976179116245578,1,11,66,73,797,943,2006
Duke,0.0,0,12,75,66,955,823,2006
Florida Int'l,0.0,0,12,62,76,827,901,2006
Georgia,12.620128537432745,11,2,90,61,1120,790,2007
LSU,13.877180974846128,12,2,102,63,1200,881,2007
Missouri,11.748104548755686,12,2,85,64,1080,804,2007
Kansas,10.989093857133728,12,1,75,76,1050,804,2007
West Virginia,11.379512110196254,11,2,88,64,1067,837,2007
Ohio State,10.96719061374509,11,2,86,65,1052,833,2007
Virginia Tech,9.686797560905337,11,3,92,59,1027,882,2007
Brigham Young,9.86896314709937,11,2,77,62,912,806,2007
Boston College,8.768469146897912,11,3,87,65,1060,861,2007
Southern Cal,8.589474547744812,11,2,75,75,1073,819,2007
Hawai`i,7.5994759572849,12,1,64,84,944,883,2007
Oklahoma,8.13243683773134,11,3,84,68,1048,861,2007
Florida,7.987912822160973,9,4,99,54,1112,822,2007
Tennessee,7.764590815993194,10,4,101,64,1189,902,2007
Cincinnati,6.899309457993849,10,3,79,70,1004,858,2007
Arizona St,7.422529128098053,10,3,82,69,1049,848,2007
Texas,7.448401466438772,10,3,83,69,1040,855,2007
Auburn,6.742943409740142,9,4,90,62,1110,805,2007
South Florida,7.069923404521446,9,4,94,57,1032,845,2007
Michigan,7.005504293600811,9,4,94,60,1088,832,2007
Illinois,6.595094466254688,9,4,92,59,1005,872,2007
Oregon,6.540100800550993,9,4,92,61,1045,872,2007
Oregon St,5.80466761966828,9,4,85,66,1039,843,2007
Clemson,6.138936444212748,9,4,88,65,1057,833,2007
Kentucky,5.315092210109867,8,5,97,56,1094,834,2007
