Rk,Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Power5,Year
1,Colt Brennan,Hawaii,WAC,14,406,559,72.6,5549,9.9,11.0,58,12,186.0,86,366,4.3,5,0,2006
2,Brian Brohm,Louisville,Big East,11,199,313,63.6,3049,9.7,10.0,16,5,159.1,47,45,1.0,0,0,2006
3,John Beck,Brigham Young,MWC,12,289,417,69.3,3885,9.3,10.0,32,8,169.1,50,-8,-0.2,6,0,2006
4,JaMarcus Russell,LSU,SEC,13,232,342,67.8,3129,9.1,9.7,28,8,167.0,52,142,2.7,1,1,2006
5,Jared Zabransky,Boise State,WAC,13,191,288,66.3,2587,9.0,9.3,23,8,162.6,98,197,2.0,6,0,2006
6,Tyler Palko,Pitt,Big East,12,220,322,68.3,2871,8.9,9.2,25,9,163.2,66,77,1.2,2,0,2006
7,Kevin Kolb,Houston,CUSA,14,292,432,67.6,3809,8.8,9.8,30,4,162.7,111,154,1.4,4,0,2006
8,Erik Ainge,Tennessee,SEC,12,233,348,67.0,2989,8.6,8.5,19,9,151.9,26,-102,-3.9,1,1,2006
9,Bobby Reid,Oklahoma State,Big 12,13,148,267,55.4,2266,8.5,8.4,24,11,148.1,119,500,4.2,5,1,2006
10,Jordan Palmer,UTEP,CUSA,12,282,429,65.7,3595,8.4,8.1,26,14,149.6,47,-86,-1.8,1,0,2006
11,Andre Woodson,Kentucky,SEC,13,264,419,63.0,3515,8.4,9.1,31,7,154.5,70,-137,-2.0,1,1,2006
12,Adam Tafralis,San Jose State,WAC,13,181,276,65.6,2284,8.3,8.7,21,7,155.1,90,224,2.5,2,0,2006
13,Chase Holbrook,New Mexico State,WAC,12,396,566,70.0,4619,8.2,8.6,34,9,155.2,80,-78,-1.0,4,0,2006
14,Zac Taylor,Nebraska,Big 12,14,233,391,59.6,3197,8.2,8.6,26,8,146.1,60,-32,-0.5,1,1,2006
15,Troy Smith,Ohio State,Big Ten,13,203,311,65.3,2542,8.2,9.2,30,6,161.9,72,204,2.8,1,1,2006
16,John Stocco,Wisconsin,Big Ten,11,158,268,59.0,2185,8.2,8.4,17,6,143.9,48,-79,-1.6,1,1,2006
17,Chris Leak,Florida,SEC,14,232,365,63.6,2942,8.1,7.7,23,13,144.9,77,30,0.4,3,1,2006
18,Matt Grothe,South Florida,Big East,13,202,317,63.7,2576,8.1,7.1,15,14,138.8,178,622,3.5,9,0,2006
19,Colt McCoy,Texas,Big 12,13,217,318,68.2,2570,8.1,8.9,29,7,161.8,68,170,2.5,2,1,2006
20,Brandon Cox,Auburn,SEC,13,163,271,60.1,2198,8.1,7.6,14,9,138.7,51,-177,-3.5,1,1,2006
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,0,2006
21,Nate Davis,Ball State,MAC,12,150,245,61.2,1975,8.1,8.1,18,8,146.7,29,-48,-1.7,0,0,2006
22,Matt Moore,Oregon State,Pac-10,14,229,378,60.6,3022,8.0,8.1,18,7,139.7,77,-11,-0.1,5,1,2006
23,Nate Longshore,California,Pac-10,13,227,377,60.2,3021,8.0,7.7,24,13,141.6,28,-47,-1.7,3,1,2006
24,Bryan Cupito,Minnesota,Big Ten,13,214,359,59.6,2819,7.9,7.9,22,9,140.8,37,-69,-1.9,0,1,2006
25,Paul Thompson,Oklahoma,Big 12,14,204,336,60.7,2667,7.9,7.8,22,11,142.4,71,151,2.1,3,1,2006
26,Riley Skinner,Wake Forest,ACC,14,171,260,65.8,2051,7.9,7.7,9,5,139.6,52,-71,-1.4,0,1,2006
27,Chase Daniel,Missouri,Big 12,13,287,452,63.5,3527,7.8,8.0,28,10,145.1,147,379,2.6,4,1,2006
28,Dan Lefevour,Central Michigan,MAC,14,247,388,63.7,3031,7.8,8.0,26,10,146.2,132,521,3.9,7,0,2006
29,Paul Smith,Tulsa,CUSA,13,233,350,66.6,2727,7.8,7.5,15,9,141.0,101,288,2.9,8,0,2006
30,Jeff Ballard,TCU,MWC,13,190,307,61.9,2394,7.8,7.9,13,5,138.1,110,423,3.8,8,0,2006
31,John David Booty,USC,Pac-10,13,269,436,61.7,3347,7.7,8.1,29,9,144.0,33,-53,-1.6,1,1,2006
32,Will Proctor,Clemson,ACC,13,183,304,60.2,2353,7.7,7.2,16,11,135.3,61,85,1.4,1,1,2006
33,Julian Edelman,Kent State,MAC,11,134,242,55.4,1859,7.7,6.5,10,11,124.4,169,658,3.9,7,0,2006
34,Rudy Carpenter,Arizona State,Pac-10,13,184,332,55.4,2523,7.6,7.1,23,14,133.7,84,69,0.8,0,1,2006
35,Chad Henne,Michigan,Big Ten,13,203,328,61.9,2508,7.6,7.9,22,8,143.4,47,-83,-1.8,0,1,2006
36,Justin Willis,SMU,CUSA,11,182,270,67.4,2047,7.6,8.5,26,6,158.4,132,354,2.7,3,0,2006
37,Curtis Painter,Purdue,Big Ten,14,315,530,59.4,3985,7.5,6.7,22,19,129.1,76,107,1.4,6,1,2006
38,Drew Tate,Iowa,Big Ten,11,207,352,58.8,2623,7.5,6.8,18,13,130.9,49,124,2.5,0,1,2006
39,Graham Harrell,Texas Tech,Big 12,13,412,617,66.8,4555,7.4,7.8,38,11,145.5,32,-66,-2.1,2,1,2006
40,Brady Quinn,Notre Dame,Ind,13,289,467,61.9,3426,7.3,8.2,37,7,146.7,82,71,0.9,2,0,2006
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,0,2006
41,Alex Brink,Washington State,Pac-10,12,241,396,60.9,2899,7.3,7.1,19,10,133.1,78,8,0.1,2,1,2006
42,Stephen McGee,Texas A&M,Big 12,13,194,313,62.0,2295,7.3,7.8,12,2,134.9,146,666,4.6,4,1,2006
43,Sean Glennon,Virginia Tech,ACC,13,170,302,56.3,2191,7.3,6.3,11,11,122.0,63,-81,-1.3,1,1,2006
44,Dustin Grutza,Cincinnati,Big East,12,137,225,60.9,1632,7.3,5.5,9,13,123.5,85,246,2.9,0,0,2006
45,Brett Ratliff,Utah,MWC,13,228,391,58.3,2796,7.2,7.3,23,9,133.2,98,260,2.7,1,0,2006
46,Sam Hollenbach,Maryland,ACC,13,203,328,61.9,2371,7.2,6.6,15,11,131.0,51,10,0.2,2,1,2006
47,Mike Teel,Rutgers,Big East,13,164,296,55.4,2135,7.2,6.0,12,13,120.6,13,-50,-3.8,0,0,2006
48,Phil Horvath,Northern Illinois,MAC,11,157,269,58.4,1932,7.2,6.5,11,9,125.5,31,-109,-3.5,0,0,2006
49,Jeff Rowe,Nevada,WAC,12,172,266,64.7,1907,7.2,7.1,17,8,140.0,93,208,2.2,4,0,2006
50,Kinsmon Lancaster,Louisiana-Monroe,Sun Belt,12,142,250,56.8,1789,7.2,5.2,7,14,115.0,111,333,3.0,5,0,2006
51,Bernard Morris,Marshall,CUSA,11,116,188,61.7,1346,7.2,5.1,8,12,123.1,82,324,4.0,2,0,2006
52,John Parker Wilson,Alabama,SEC,13,216,379,57.0,2707,7.1,6.9,17,10,126.5,82,83,1.0,0,1,2006
53,Caleb Hanie,Colorado State,MWC,12,209,342,61.1,2427,7.1,6.2,11,12,124.3,108,55,0.5,4,0,2006
54,Chris Nickson,Vanderbilt,SEC,12,160,292,54.8,2085,7.1,6.2,15,13,122.8,146,694,4.8,9,1,2006
55,Lester Ricard,Tulane,CUSA,12,229,400,57.3,2795,7.0,6.8,18,10,125.8,60,-112,-1.9,0,0,2006
56,James Pinkney,East Carolina,CUSA,13,232,397,58.4,2783,7.0,6.5,12,10,122.3,105,216,2.1,4,0,2006
57,Luke Getsy,Akron,MAC,12,199,380,52.4,2662,7.0,6.7,18,11,121.1,58,-142,-2.4,0,0,2006
58,Matt Ryan,Boston College,ACC,12,263,427,61.6,2942,6.9,6.5,15,10,126.4,51,-35,-0.7,4,1,2006
59,Adam Dimichele,Temple,Ind,11,135,220,61.4,1518,6.9,5.4,10,12,123.4,73,-184,-2.5,0,0,2006
60,Martin Hankins,Memphis,CUSA,12,226,377,59.9,2550,6.8,6.2,18,13,125.6,33,-12,-0.4,0,0,2006
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,0,2006
61,Bret Meyer,Iowa State,Big 12,12,211,374,56.4,2546,6.8,6.0,12,12,117.8,137,177,1.3,6,1,2006
62,Zac Champion,Louisiana Tech,WAC,13,190,364,52.2,2466,6.8,5.3,14,18,111.9,68,88,1.3,1,0,2006
63,Mike Kokal,Miami (OH),MAC,11,208,355,58.6,2419,6.8,6.6,14,8,124.3,136,277,2.0,3,0,2006
64,Steven Wichman,Idaho,WAC,12,155,319,48.6,2158,6.8,5.3,8,14,104.9,52,33,0.6,1,0,2006
65,Drew Weatherford,Florida State,ACC,12,177,318,55.7,2154,6.8,6.0,12,11,118.1,57,-14,-0.2,1,1,2006
66,Clint Marks,Middle Tennessee State,Sun Belt,13,171,283,60.4,1917,6.8,5.9,8,9,120.3,52,-46,-0.9,1,0,2006
67,Matthew Stafford,Georgia,SEC,13,135,256,52.7,1749,6.8,5.1,7,13,109.0,47,191,4.1,3,1,2006
68,Shawn Bell,Baylor,Big 12,9,241,383,62.9,2582,6.7,6.6,19,10,130.7,27,-137,-5.1,0,1,2006
69,Dennis Dixon,Oregon,Pac-10,12,197,322,61.2,2143,6.7,5.4,12,14,120.7,94,442,4.7,2,1,2006
70,Drew Stanton,Michigan State,Big Ten,11,164,269,61.0,1807,6.7,5.9,12,10,124.7,110,445,4.0,5,1,2006
71,Joe Dailey,North Carolina,ACC,10,112,195,57.4,1316,6.7,5.2,7,10,115.7,50,61,1.2,1,1,2006
72,Josh Freeman,Kansas State,Big 12,11,140,270,51.9,1780,6.6,4.5,6,15,103.5,54,-21,-0.4,2,1,2006
73,Rusty Smith,Florida Atlantic,Sun Belt,12,108,194,55.7,1285,6.6,5.4,6,8,113.3,25,-110,-4.4,0,0,2006
74,Patrick Cowan,UCLA,Pac-10,12,145,276,52.5,1782,6.5,5.8,11,9,113.4,54,108,2.0,2,1,2006
75,Kellen Lewis,Indiana,Big Ten,11,190,346,54.9,2221,6.4,6.3,14,7,118.1,124,441,3.6,5,1,2006
76,Chase Clement,Rice,CUSA,9,153,265,57.7,1707,6.4,7.2,21,5,134.2,107,481,4.5,4,0,2006
77,Steven Moffett,UCF,CUSA,10,119,215,55.3,1385,6.4,6.1,8,5,117.1,31,-7,-0.2,0,0,2006
78,Anthony Morelli,Penn State,Big Ten,13,208,386,53.9,2424,6.3,5.9,11,8,111.9,39,-88,-2.3,0,1,2006
