Player,School,Passing_Rate,Passing_TD,Rushing_TD,Power5,CPI,Projected_Voting_Points
Jaxson Dart,Ole Miss,247.4,6.0,2.0,1,25.0,1500.08
Chandler Morris,North Texas,161.2,7.0,2.0,0,25.0,-20.04
Kyle McCord,Syracuse,170.8,8.0,0.0,1,25.0,572.03
Behren Morton,Texas Tech,138.7,6.0,0.0,1,12.5,-375.18
Shedeur Sanders,Colorado,165.8,5.0,0.0,1,12.5,-84.93
Cam Ward,Miami,199.5,6.0,0.0,1,25.0,860.23
Haynes King,Georgia Tech,154.3,3.0,3.0,1,16.67,58.11
Brendan Sorsby,Cincinnati,170.6,5.0,2.0,1,12.5,60.87
Hank Bachmeier,Wake Forest,163.1,4.0,0.0,1,12.5,-136.28
Anthony Colandrea,Virginia,177.9,5.0,0.0,1,25.0,592.23
Taylen Green,Arkansas,153.1,3.0,2.0,1,12.5,-180.53
Eli Holstein,Pitt,159.2,6.0,0.0,1,25.0,398.27
Dillon Gabriel,Oregon,177.9,4.0,0.0,1,25.0,571.83
Josh Hoover,Texas Christian,169.1,4.0,0.0,1,25.0,470.96
Garrett Nussmeier,LSU,174.5,8.0,0.0,1,12.5,75.99
Miller Moss,USC,160.0,2.0,0.0,1,25.0,325.85
Noah Fifita,Arizona,174.5,5.0,0.0,1,25.0,553.26
Mikey Keene,Fresno State,137.6,3.0,0.0,0,12.5,-1001.39
Jake Garcia,East Carolina,130.9,4.0,0.0,0,25.0,-519.34
Tyler Shough,Louisville,188.8,6.0,0.0,1,25.0,737.57
Alan Bowman,Oklahoma State,131.9,3.0,0.0,1,25.0,24.14
Billy Edwards Jr.,Maryland,171.4,4.0,0.0,1,12.5,-41.14
Brendon Lewis,Nevada,145.2,5.0,0.0,0,8.33,-1052.97
Emmett Brown,San Jose State,146.3,5.0,0.0,0,25.0,-322.41
Jake Retzlaff,BYU,155.9,4.0,0.0,1,25.0,319.65
Darian Mensah,Tulane,210.1,4.0,0.0,0,12.5,-149.93
Rocco Becht,Iowa State,163.1,4.0,0.0,1,25.0,402.18
Maalik Murphy,Duke,135.9,5.0,0.0,1,25.0,110.79
Ethan Hampton,Northern Illinois,235.9,6.0,0.0,0,25.0,725.07
