Player,School,Passing_Rate,Passing_TD,Rushing_TD,Power5,CPI
Taisun Phommachanh,Massachusetts,153.7,0,1,0,25.0
Caleb Williams,USC,218.2,4,0,1,25.0
Mitch Griffis,Wake Forest,181.8,3,0,1,25.0
Sam Hartman,Notre Dame,231.7,4,0,1,25.0
Jason Bean,Kansas,184.9,2,0,1,25.0
Haynes King,Georgia Tech,166.2,3,0,1,0.0
Darren Grainger,Georgia State,194.1,2,0,0,25.0
John Rhys Plumlee,UCF,171.7,3,1,1,25.0
Diego Pavia,New Mexico State,158.3,3,0,0,0.0
Tyler Van Dyke,Miami (FL),159.9,1,0,1,25.0
Noah Kim,Michigan State,155.0,2,0,1,25.0
Bryson Barnes,Utah,159.2,1,1,1,25.0
AJ Swann,Vanderbilt,168.6,3,0,1,25.0
Brady Cook,Missouri,165.5,1,1,1,25.0
Brayden Schager,Hawaii,150.1,6,0,0,0.0
Jack Plummer,Louisville,150.5,3,0,1,25.0
Graham Mertz,Florida,137.0,1,0,1,0.0
Hank Bachmeier,Louisiana Tech,143.8,1,0,0,25.0
Jaden Rashada,Arizona State,143.3,2,0,1,25.0
Gavin Hardison,UTEP,116.5,1,0,0,0.0
Jacob Zeno,UAB,176.4,3,0,0,25.0
Ashton Daniels,Stanford,145.6,2,0,1,25.0
Jack Salopek,Western Michigan,129.2,1,0,0,25.0
Austin Smith,Eastern Michigan,125.0,1,0,0,25.0
Brennan Armstrong,North Carolina State,115.5,0,2,1,25.0
Brett Gabbert,Miami (OH),107.9,0,0,0,0.0
Jeff Sims,Nebraska,94.1,1,0,1,0.0
Jalen Mayden,San Diego State,137.1,2,0,0,25.0
Chevan Cordeiro,San Jose State,125.1,3,0,0,0.0
Bert Emanuel Jr.,Central Michigan,115.3,1,0,0,0.0
CJ Harris,Ohio,77.0,1,0,0,0.0
Michael Alaimo,Kent State,71.5,0,0,0,0.0
Athan Kaliakmanis,Minnesota,94.9,1,0,1,25.0
Joe Fagnano,Connecticut,82.7,0,0,0,0.0
Zion Webb,Jacksonville State,78.1,0,0,0,25.0
